COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
17.0,967.0,29.0,0.0,0.0,44.0
33.0,1502.0,32.0,13.0,0.0,56.0
264.0,5062.0,271.0,126.0,14.0,427.0
2187.0,28226.0,2376.0,1097.0,94.0,3551.0
2932.0,38204.0,2982.0,1204.0,135.0,4837.0
0.0,114.0,0.0,0.0,0.0,0.0
0.0,234.0,0.0,0.0,0.0,0.0
20.0,800.0,39.0,0.0,0.0,53.0
264.0,4174.0,326.0,134.0,10.0,470.0
435.0,6450.0,447.0,181.0,28.0,726.0
0.0,257.0,0.0,0.0,0.0,18.0
0.0,314.0,10.0,0.0,0.0,13.0
47.0,1029.0,58.0,29.0,0.0,81.0
474.0,6278.0,513.0,231.0,14.0,778.0
761.0,10917.0,820.0,249.0,43.0,1368.0
10.0,309.0,0.0,0.0,0.0,17.0
12.0,614.0,27.0,0.0,0.0,33.0
146.0,2563.0,194.0,91.0,0.0,258.0
1132.0,12864.0,1612.0,787.0,44.0,1998.0
1413.0,15680.0,1852.0,951.0,42.0,2350.0
0.0,64.0,0.0,0.0,0.0,0.0
0.0,206.0,0.0,0.0,0.0,0.0
19.0,776.0,20.0,11.0,0.0,42.0
291.0,4996.0,333.0,145.0,0.0,488.0
503.0,8270.0,530.0,168.0,10.0,880.0
13.0,511.0,13.0,0.0,0.0,26.0
25.0,1044.0,24.0,0.0,0.0,44.0
231.0,4766.0,204.0,91.0,0.0,352.0
2181.0,26927.0,2118.0,1016.0,37.0,3316.0
4118.0,47846.0,3896.0,1751.0,78.0,6334.0
0.0,226.0,0.0,0.0,0.0,0.0
20.0,671.0,14.0,0.0,0.0,29.0
194.0,2419.0,180.0,105.0,0.0,277.0
809.0,8483.0,881.0,465.0,39.0,1261.0
978.0,11046.0,1026.0,456.0,26.0,1578.0
23.0,819.0,25.0,0.0,0.0,49.0
50.0,1452.0,44.0,12.0,0.0,83.0
313.0,6029.0,302.0,113.0,0.0,512.0
2847.0,36947.0,3349.0,1183.0,108.0,5115.0
5852.0,66739.0,6577.0,1976.0,209.0,10655.0
22.0,1438.0,21.0,0.0,0.0,43.0
45.0,2422.0,48.0,22.0,0.0,77.0
368.0,8356.0,390.0,179.0,12.0,594.0
3291.0,42475.0,3888.0,1748.0,130.0,5554.0
4569.0,57070.0,5111.0,2027.0,153.0,7793.0
0.0,76.0,0.0,0.0,0.0,0.0
0.0,177.0,0.0,0.0,0.0,0.0
24.0,626.0,39.0,0.0,0.0,56.0
202.0,2623.0,281.0,123.0,0.0,369.0
306.0,4240.0,382.0,136.0,0.0,566.0
32.0,1604.0,48.0,10.0,0.0,77.0
54.0,2233.0,58.0,21.0,12.0,101.0
453.0,8964.0,436.0,215.0,0.0,692.0
4639.0,52182.0,4666.0,2367.0,154.0,7078.0
6795.0,73160.0,5691.0,2749.0,182.0,9906.0
19.0,605.0,26.0,0.0,0.0,41.0
45.0,862.0,39.0,20.0,0.0,67.0
264.0,3515.0,292.0,127.0,11.0,444.0
1934.0,18776.0,2130.0,951.0,105.0,3201.0
2295.0,22861.0,2262.0,927.0,88.0,3706.0
0.0,375.0,0.0,0.0,0.0,20.0
12.0,712.0,0.0,0.0,0.0,21.0
122.0,2840.0,100.0,33.0,0.0,191.0
890.0,15740.0,983.0,391.0,64.0,1542.0
1766.0,24886.0,1504.0,619.0,99.0,2746.0
26.0,1398.0,30.0,0.0,0.0,53.0
54.0,2160.0,39.0,17.0,0.0,78.0
465.0,8495.0,417.0,207.0,11.0,688.0
4166.0,50908.0,4036.0,1935.0,135.0,6388.0
6931.0,84774.0,6181.0,2588.0,229.0,10722.0
0.0,72.0,0.0,0.0,0.0,0.0
0.0,130.0,0.0,0.0,0.0,0.0
24.0,584.0,16.0,0.0,0.0,35.0
249.0,3642.0,238.0,118.0,0.0,376.0
492.0,6637.0,415.0,175.0,10.0,747.0
19.0,678.0,16.0,0.0,0.0,38.0
30.0,1233.0,32.0,11.0,0.0,51.0
216.0,4609.0,190.0,70.0,0.0,344.0
1804.0,23530.0,1974.0,823.0,54.0,3002.0
2503.0,29935.0,2362.0,1023.0,64.0,3899.0
0.0,160.0,0.0,0.0,0.0,12.0
0.0,192.0,0.0,0.0,0.0,0.0
40.0,662.0,58.0,16.0,0.0,81.0
224.0,3155.0,317.0,118.0,0.0,435.0
363.0,4996.0,408.0,135.0,27.0,662.0
14.0,1110.0,27.0,0.0,0.0,42.0
36.0,1967.0,52.0,10.0,0.0,81.0
311.0,7263.0,407.0,149.0,13.0,588.0
3037.0,35867.0,3437.0,1492.0,127.0,5098.0
3822.0,42394.0,3954.0,1618.0,111.0,6250.0
69.0,4116.0,102.0,15.0,20.0,174.0
148.0,5942.0,160.0,57.0,14.0,262.0
1114.0,19553.0,1227.0,535.0,57.0,1855.0
7599.0,95352.0,9288.0,4173.0,245.0,12926.0
9681.0,120424.0,10789.0,4708.0,257.0,15991.0
0.0,457.0,14.0,0.0,0.0,21.0
15.0,535.0,20.0,0.0,0.0,27.0
98.0,1865.0,102.0,33.0,0.0,165.0
487.0,7319.0,553.0,218.0,25.0,846.0
727.0,12591.0,809.0,322.0,37.0,1249.0
0.0,45.0,0.0,0.0,0.0,0.0
0.0,87.0,0.0,0.0,0.0,0.0
0.0,392.0,0.0,0.0,0.0,0.0
83.0,2279.0,127.0,31.0,0.0,182.0
295.0,3882.0,268.0,80.0,10.0,502.0
22.0,939.0,11.0,0.0,0.0,39.0
31.0,1507.0,26.0,0.0,0.0,50.0
262.0,5416.0,214.0,106.0,0.0,383.0
2232.0,29864.0,2150.0,1017.0,73.0,3432.0
3453.0,44530.0,2977.0,1269.0,95.0,5252.0
0.0,693.0,17.0,0.0,10.0,29.0
